,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,dim_shown,expected_dim
147,437,wb0b75c3,Green,1.0,1694.0,1,6,9,choice,Before,Food,1,2,2.0,4,4,1,1,2.0,Food,False
148,446,w4400cbf,Animal,1.0,5322.0,1,1,9,choice,After,Animal,2,4,1.0,5,5,2,2,1.0,None,False
149,447,w4400cbf,Red,0.0,5165.0,1,2,9,choice,After,Animal,1,-1,-1.0,5,5,1,1,-1.0,None,False
150,448,w4400cbf,Green,1.0,4921.0,1,3,9,choice,After,Animal,3,2,2.0,5,5,2,2,3.0,None,False
151,450,w4400cbf,Blue,1.0,5179.0,1,5,9,choice,After,Animal,2,1,-2.0,5,5,2,2,-2.0,None,False
152,451,w4400cbf,Object,1.0,4812.0,0,6,9,choice,After,Animal,3,-1,-1.0,5,5,3,3,-1.0,None,False
153,473,wbc79189,Scene,0.0,1052.0,0,1,9,choice,After,Scene,1,1,-1.0,5,5,1,2,-1.0,None,False
154,475,wbc79189,Red,0.0,1236.0,1,3,9,choice,After,Scene,3,-3,-5.0,5,5,3,3,-5.0,None,False
155,476,wbc79189,Animal,0.0,1184.0,1,4,9,choice,After,Scene,2,-1,-1.0,5,5,2,2,-1.0,None,False
156,477,wbc79189,Yellow,1.0,663.0,1,5,9,choice,After,Scene,2,2,2.0,5,5,2,2,2.0,None,False
157,478,wbc79189,Food,0.0,889.0,1,6,9,choice,After,Scene,3,-3,-2.0,5,5,2,2,-1.0,None,False
158,487,w6bec3e7,Red,1.0,3281.0,1,1,9,choice,After,Red,1,2,2.0,4,4,1,2,2.0,None,False
159,488,w6bec3e7,Yellow,0.0,3743.0,0,2,9,choice,After,Red,2,4,1.0,4,4,2,3,1.0,None,False
160,489,w6bec3e7,Animal,0.0,4213.0,0,3,9,choice,After,Red,2,1,-2.0,4,4,1,1,-1.0,None,False
161,490,w6bec3e7,Object,1.0,1349.0,1,4,9,choice,After,Red,3,2,2.0,4,4,2,2,4.0,None,False
162,491,w6bec3e7,Blue,0.0,1854.0,1,5,9,choice,After,Red,3,-4,-4.0,4,4,1,1,-1.0,None,False
163,492,w6bec3e7,Food,0.0,1738.0,1,6,9,choice,After,Red,1,-1,-1.0,4,4,1,1,-1.0,None,False
164,501,w6ea0c26,Object,1.0,3903.0,0,1,9,choice,Before,Object,3,-1,-3.0,3,3,2,3,-4.0,Object,True
165,502,w6ea0c26,Scene,0.0,2847.0,0,2,9,choice,Before,Object,2,4,1.0,3,3,1,2,-1.0,Object,False
166,503,w6ea0c26,Green,1.0,1029.0,0,3,9,choice,Before,Object,1,-1,-2.0,3,3,1,1,-2.0,Object,False
167,505,w6ea0c26,Blue,1.0,795.0,0,5,9,choice,Before,Object,3,-1,-2.0,3,3,1,1,-2.0,Object,False
168,506,w6ea0c26,Yellow,1.0,3289.0,1,6,9,choice,Before,Object,2,4,0.0,3,3,1,1,-1.0,Object,False
169,515,w924a500,Food,0.0,2878.0,1,1,9,choice,Before,Food,2,-3,0.0,6,6,2,2,0.0,Food,True
170,516,w924a500,Green,1.0,4216.0,0,2,9,choice,Before,Food,2,-2,-2.0,6,6,2,2,-2.0,Food,False
171,517,w924a500,Red,1.0,4281.0,1,3,9,choice,Before,Food,1,2,2.0,6,6,1,1,2.0,Food,False
172,518,w924a500,Yellow,1.0,3430.0,1,4,9,choice,Before,Food,3,1,3.0,6,6,3,3,3.0,Food,False
173,519,w924a500,Object,0.0,3425.0,0,5,9,choice,Before,Food,1,2,1.0,6,6,1,1,1.0,Food,False
174,520,w924a500,Scene,0.0,3595.0,0,6,9,choice,Before,Food,3,2,2.0,6,6,3,3,2.0,Food,False
175,527,w10f7bc5,Red,1.0,3430.0,1,1,9,choice,After,Red,2,3,-1.0,4,4,2,2,-1.0,None,False
176,530,w10f7bc5,Food,1.0,1727.0,1,4,9,choice,After,Red,3,1,1.0,4,4,2,2,2.0,None,False
177,531,w10f7bc5,Scene,0.0,1481.0,0,5,9,choice,After,Red,2,1,-4.0,4,4,2,2,-4.0,None,False
178,532,w10f7bc5,Green,1.0,1987.0,0,6,9,choice,After,Red,3,-2,-2.0,4,4,2,2,-1.0,None,False
179,541,w2c75db7,Green,1.0,7449.0,1,1,9,choice,After,Green,2,1,-2.0,3,3,1,1,-1.0,None,False
180,543,w2c75db7,Blue,1.0,1050.0,1,3,9,choice,After,Green,1,1,1.0,3,3,1,2,1.0,None,False
181,544,w2c75db7,Scene,0.0,1770.0,0,4,9,choice,After,Green,3,1,2.0,3,3,2,2,0.0,None,False
182,545,w2c75db7,Animal,0.0,1042.0,1,5,9,choice,After,Green,1,-1,-1.0,3,3,1,2,-1.0,None,False
183,546,w2c75db7,Yellow,0.0,819.0,1,6,9,choice,After,Green,3,-1,0.0,3,3,1,2,-1.0,None,False
184,555,w2c1f2f7,Food,0.0,2326.0,1,1,9,choice,Before,Food,3,-1,-1.0,5,5,3,3,-1.0,Food,True
185,556,w2c1f2f7,Animal,1.0,1285.0,0,2,9,choice,Before,Food,2,-1,0.0,5,5,1,1,1.0,Food,False
186,557,w2c1f2f7,Scene,0.0,2749.0,0,3,9,choice,Before,Food,1,1,2.0,5,5,1,2,2.0,Food,False
187,558,w2c1f2f7,Blue,1.0,2506.0,1,4,9,choice,Before,Food,1,2,2.0,5,5,1,1,2.0,Food,False
188,559,w2c1f2f7,Green,1.0,1879.0,1,5,9,choice,Before,Food,3,1,2.0,5,5,3,3,2.0,Food,False
189,560,w2c1f2f7,Yellow,0.0,2935.0,1,6,9,choice,Before,Food,2,-4,-3.0,5,5,1,2,-2.0,Food,False
190,569,wace8728,Yellow,1.0,1998.0,1,1,9,choice,Before,Yellow,1,2,0.0,3,3,1,1,0.0,Yellow,True
191,571,wace8728,Green,0.0,2878.0,1,3,9,choice,Before,Yellow,2,-3,0.0,3,3,1,1,0.0,Yellow,False
192,572,wace8728,Object,0.0,3057.0,0,4,9,choice,Before,Yellow,3,3,0.0,3,3,2,2,0.0,Yellow,False
193,573,wace8728,Red,1.0,1563.0,1,5,9,choice,Before,Yellow,3,2,0.0,3,3,1,1,0.0,Yellow,False
194,574,wace8728,Animal,0.0,1777.0,1,6,9,choice,Before,Yellow,2,-3,0.0,3,3,1,1,0.0,Yellow,False
195,583,wd07cb72,Scene,0.0,687.0,1,1,9,choice,Before,Scene,2,-3,-4.0,4,4,1,2,-2.0,Scene,True
196,584,wd07cb72,Animal,1.0,411.0,1,2,9,choice,Before,Scene,3,4,4.0,4,4,3,3,4.0,Scene,False
197,586,wd07cb72,Yellow,0.0,1957.0,1,4,9,choice,Before,Scene,3,-3,1.0,4,4,1,1,1.0,Scene,False
198,587,wd07cb72,Red,1.0,2100.0,1,5,9,choice,Before,Scene,1,1,1.0,4,4,1,2,1.0,Scene,False
199,588,wd07cb72,Blue,1.0,426.0,1,6,9,choice,Before,Scene,2,1,0.0,4,4,2,2,0.0,Scene,False
200,597,w0fd8c2c,Blue,1.0,1702.0,1,1,9,choice,After,Blue,1,2,-2.0,5,5,1,1,-2.0,None,False
201,598,w0fd8c2c,Red,0.0,3946.0,1,2,9,choice,After,Blue,3,-1,-1.0,5,5,2,2,0.0,None,False
202,599,w0fd8c2c,Food,1.0,3865.0,0,3,9,choice,After,Blue,3,-1,-2.0,5,5,3,3,-2.0,None,False
203,600,w0fd8c2c,Animal,0.0,2337.0,1,4,9,choice,After,Blue,2,-1,-3.0,5,5,1,1,-2.0,None,False
204,601,w0fd8c2c,Yellow,1.0,1946.0,0,5,9,choice,After,Blue,2,-1,-1.0,5,5,2,2,-1.0,None,False
205,602,w0fd8c2c,Scene,1.0,1291.0,1,6,9,choice,After,Blue,1,2,1.0,5,5,1,2,1.0,None,False
206,610,w117e095,Animal,0.0,1647.0,1,1,9,choice,Before,Animal,3,-5,-5.0,1,1,1,2,-2.0,Animal,True
